native_lang;native_lang_branch;native_lang_family;studying_time_period;studying_time_years;usage_of_russian;where_studied;text1_q1;text1_q2;text1_q3;text2_q1;text2_q2;text2_q3;text3_q1;text3_q2;text3_q3;text4_q1;text4_q2;text4_q3;text1_level;text2_level;text3_level;text4_level;level;foreign_lang1;foreign_lang2;foreign_lang3;foreign_lang_branch1;foreign_lang_branch2
Persian;Indo-Iranian;Indo-European;more than 2 years to 5 years;3;studying, communication;university in Russia;true;true;true;true;true;true;true;false;false;true;false;false;3;3;1;1;intermediate;English;none;none;Germanic;
German;Germanic;Indo-European;equal to or more than 5 years;5;communication with friends;school;true;true;true;true;true;true;true;false;true;none;true;none;3;3;2;1;upper-intermediate;English;none;none;Germanic;
English;Germanic;Indo-European;equal to or less than 1 year;1;communication with friends and at work;living in Moscow;true;true;false;true;true;true;true;false;false;false;true;true;2;3;1;2;upper-intermediate;none;none;none;;
Vietnamese;Vietic;Austroasiatic;equal to or more than 5 years;8;communication;kindergarten;true;true;false;true;true;true;none;false;false;true;none;none;2;3;0;1;intermediate;none;none;none;;
German;Germanic;Indo-European;equal to or more than 5 years;5;communication with friends and at work, studying;university;true;true;true;true;true;true;true;true;true;none;true;true;3;3;3;2;advanced;none;none;none;;
Italian;Romance;Indo-European;more than 2 years to 5 years;4,5;studying, communication;university in Italy;true;true;true;true;true;true;true;true;true;true;true;true;3;3;3;3;advanced;English;none;none;Germanic;
Italian;Romance;Indo-European;equal to or more than 5 years;5;communication with friends;university;true;true;true;true;true;true;true;true;none;none;false;false;3;3;2;0;upper-intermediate;English;Spanish;none;Germanic;Romance
Korean;Koreanic;Koreanic;more than 2 years to 5 years;3;;university in Korea;true;true;false;true;true;true;true;true;true;true;true;true;2;3;3;3;advanced;English;none;none;Germanic;
Chinese;Sinitic;Sino-Tibetan;equal to or more than 5 years;8;communication with friends;university in China;true;true;true;true;true;true;true;true;true;true;false;false;3;3;3;1;upper-intermediate;English;Spanish;none;Germanic;Romance
German;Germanic;Indo-European;from 1 to 2 years;2;communication;Germany, France, Sweden;true;true;true;true;true;true;true;true;none;none;none;true;3;3;2;1;upper-intermediate;English;French;Spanish;Germanic;Romance
German;Germanic;Indo-European;more than 2 years to 5 years;2,5;communication;university;true;true;true;true;true;true;true;true;true;false;true;true;3;3;3;2;advanced;English;French;none;Germanic;Romance
German;Germanic;Indo-European;from 1 to 2 years;2;communication;Russia;true;true;true;false;true;true;true;false;true;false;true;false;3;2;2;1;intermediate;English;Turkish;none;Germanic;Turkic
French;Romance;Indo-European;more than 2 years to 5 years;3;communication with friends;university in France;true;true;false;true;true;true;false;none;false;none;false;none;2;3;0;0;intermediate;English;Spanish;none;Germanic;Romance
Korean;Koreanic;Koreanic;from 1 to 2 years;1,8;;in Korea;true;true;true;true;true;true;true;true;false;false;true;false;3;3;2;1;upper-intermediate;English;none;none;Germanic;
French;Romance;Indo-European;more than 2 years to 5 years;2,5;communication with friends;university in France;true;true;true;true;true;true;true;true;true;false;true;false;3;3;3;1;upper-intermediate;English;German;none;Germanic;
Korean;Koreanic;Koreanic;more than 2 years to 5 years;2,5;communication;university;true;true;true;true;true;true;true;false;false;false;true;none;3;3;1;1;upper-intermediate;English;none;none;Germanic;
Korean;Koreanic;Koreanic;more than 2 years to 5 years;3;communication with friends;university in Korea;true;true;true;true;true;true;false;none;none;none;none;none;3;3;0;0;intermediate;English;none;none;Germanic;
